headline,url
,https://english.elpais.com/culture/2025-03-03/oscars-2025-complete-winners-list.html
Sean Baker,https://english.elpais.com/culture/2025-03-03/oscars-2025-complete-winners-list.html
Mikey Madison,https://english.elpais.com/culture/2025-03-03/oscars-2025-complete-winners-list.html
Adrien Brody,https://english.elpais.com/culture/2025-03-03/oscars-2025-complete-winners-list.html
Zoe Saldaña,https://english.elpais.com/culture/2025-03-03/oscars-2025-complete-winners-list.html
Kieran Culkin,https://english.elpais.com/culture/2025-03-03/oscars-2025-complete-winners-list.html
Brazil,https://english.elpais.com/culture/2025-03-03/oscars-2025-complete-winners-list.html
,https://english.elpais.com
"Extradition, transfer or expulsion? The legal controversy behind the move against the cartels",https://english.elpais.com
"Night of surprises at the Oscars as ‘Anora’ sweeps five awards in long, apolitical gala",https://english.elpais.com/culture/2025-03-03/night-of-surprises-at-the-oscars-as-anora-sweeps-five-awards-in-a-long-and-apolitical-gala.html
,https://english.elpais.com
"Americans, the migrants with the largest presence in Mexico",https://english.elpais.com/international/2025-03-02/americans-the-migrants-with-the-largest-presence-in-mexico.html
Government employees fired by Musk speak: ‘I feel betrayed by my country’ ,https://english.elpais.com/usa/2025-03-03/government-employees-fired-by-musk-speak-i-feel-betrayed-by-my-country.html
Wall Street: The risks behind Trump’s bullish mirage,https://english.elpais.com/economy-and-business/2025-03-03/wall-street-the-risks-behind-trumps-bullish-mirage.html
Life’s revolution: From the selfish gene to the collaborative cell,https://english.elpais.com/science-tech/2025-03-01/lifes-revolution-from-the-selfish-gene-to-the-collaborative-cell.html
Aircraft accidents and what passengers can do to increase their safety in the air,https://english.elpais.com/usa/2025-03-01/aircraft-accidents-and-what-passengers-can-do-to-increase-their-safety-in-the-air.html
"Caro Quintero, Narco of Narcos, the coveted trophy the US has been pursuing for 40 years",https://english.elpais.com/international/2025-02-28/caro-quintero-the-narco-of-narcos-the-coveted-trophy-that-the-us-has-been-pursuing-for-40-years.html
"Guilt, shame and fear of gaining weight: The emotional toll that comes from compulsive eating",https://english.elpais.com/health/2025-03-01/guilt-shame-and-fear-of-gaining-weight-the-emotional-toll-that-comes-from-compulsive-eating.html
"Julián Casanova, historian: ‘The good things Franco did were done by democracies without torture or death sentences’",https://english.elpais.com/culture/2025-03-02/julian-casanova-historian-the-good-things-franco-did-were-done-by-democracies-without-torture-or-death-sentences.html
,https://english.elpais.com
,https://english.elpais.com
Where do the clothes go after we put them in a recycling bin? An 11-month investigation covering thousands of kilometers,https://english.elpais.com/climate/2025-03-01/where-do-the-clothes-go-after-we-put-them-in-a-recycling-bin-an-11-month-investigation-covering-thousands-of-kilometers.html
,https://english.elpais.com
,https://english.elpais.com
,https://english.elpais.com
,https://english.elpais.com
,https://english.elpais.com
Egg prices will increase 41% this year in the US,https://english.elpais.com/economy-and-business/2025-02-27/egg-prices-will-increase-41-this-year-in-the-us-according-to-official-forecasts.html
"Wrestling, cannabis, bitcoin and stocks: This is how Trump’s government of billionaires invests",https://english.elpais.com/economy-and-business/2025-02-15/wrestling-cannabis-bitcoin-and-stocks-this-is-how-trumps-government-of-billionaires-invests.html
Cohousing projects to ease Spain’s real estate crisis,https://english.elpais.com/economy-and-business/2025-02-23/cohousing-projects-to-ease-spains-real-estate-crisis.html
"Andrés Jaque, architect: ‘The street of the future is a bustling street, full of life and shade’ ",https://english.elpais.com/lifestyle/2025-03-02/andres-jaque-architect-the-street-of-the-future-is-a-bustling-street-full-of-life-and-shade.html
Underground fights and female thieves: New series from the creator of ‘Peaky Blinders’ delves into London’s underworld,https://english.elpais.com
"Dystopias, authoritarianism, tech threats... Is progress over?",https://english.elpais.com/culture/2025-02-25/dystopias-authoritarianism-technological-threats-is-progress-over.html
Hollywood is starring in its own horror movie,https://english.elpais.com/economy-and-business/2025-02-15/hollywood-is-starring-in-its-own-horror-movie.html
Patrick Dempsey: ‘Dyslexia was a lesson in humility that saved me from the temptation to believe I was better than anyone else’,https://english.elpais.com/culture/2025-02-19/patrick-dempsey-dyslexia-was-a-lesson-in-humility-that-saved-me-from-the-temptation-to-believe-i-was-better-than-anyone-else.html
"Tiny Desk, what a concept: 15 performances that will ignite your love of music",https://english.elpais.com/culture/2025-02-23/tiny-desk-what-a-concept-15-performances-that-will-ignite-your-love-of-music.html
Is it better to consume sugar or sweeteners?,https://english.elpais.com/health/2025-03-01/is-it-better-to-consume-sugar-or-sweeteners.html
,https://english.elpais.com
"Wasting time, no social media, having kids and knowing the hidden spots: The true luxuries of the super-rich in 2025",https://english.elpais.com/lifestyle/2025-02-21/wasting-time-living-free-of-social-media-having-kids-and-knowing-the-hidden-spots-the-true-luxuries-of-the-super-rich-in-2025.html
,https://english.elpais.com
"Noah Centineo, the actor who went from the internet’s boyfriend to near-oblivion  ",https://english.elpais.com/people/2025-02-08/noah-centineo-the-actor-who-went-from-the-internets-boyfriend-to-near-oblivion.html
"Jacques Audiard, director of ‘Emilia Pérez’, distances himself from Karla Sofía Gascón: ‘What she said is inexcusable’",https://english.elpais.com/culture/2025-02-05/jacques-audiard-director-of-emilia-perez-distances-himself-from-karla-sofia-gascon-what-she-said-is-inexcusable.html
"The second youth of Lindsey Buckingham, Fleetwood Mac’s sonic architect",https://english.elpais.com/culture/2025-02-15/the-second-youth-of-lindsey-buckingham-fleetwood-macs-sonic-architect.html
News of a stagnant war in Sinaloa,https://english.elpais.com/international/2025-02-17/news-of-a-stagnant-war-in-sinaloa.html
Salman Rushdie: ‘Musk does not defend freedom of expression; he curates the discourse of the extreme right’  ,https://english.elpais.com/culture/2025-02-16/salman-rushdie-musk-does-not-defend-freedom-of-expression-he-curates-the-discourse-of-the-extreme-right.html
Jocelynn took her own life after being harassed at school because of her family’s immigration status: ‘Why was I left without my princess?’,https://english.elpais.com
,https://english.elpais.com
Listen now LOS40 USA,https://los40.us/
One Direction’s Decision About Reuniting for the BRITs as a Tribute to Liam Payne,https://los40.us/2025/one-directions-decision-about-reuniting-for-the-brits-as-a-tribute-to-liam-payne-30371.html
Kendrick Lamar’s Photos at UCLA Go Viral: What’s He Studying?,https://los40.us/2025/kendrick-lamars-photos-at-ucla-go-viral-whats-he-studying-30277.html
EL PAÍS offers free Spanish lessons with Gymglish,https://english.elpais.com/economy-and-business/2021-11-15/el-pais-offers-free-spanish-lessons-with-gymglish.html
‘A legal black box’: Trump uses treatment reserved for terrorists on migrants sent to Guantánamo,https://english.elpais.com/international/2025-02-13/a-legal-black-box-trump-uses-treatment-reserved-for-terrorists-on-migrants-sent-to-guantanamo.html
,https://english.elpais.com
‘Canada is not for sale’: Trump’s threats of annexation and tariffs stoke Canadian patriotism,https://english.elpais.com/international/2025-02-10/canada-is-not-for-sale-trumps-threats-of-annexation-and-tariffs-stoke-canadian-patriotism.html
,https://english.elpais.com
,https://english.elpais.com
Venezuela kicks off its most uncertain presidential campaign,https://english.elpais.com
Latin America draws up a future of accelerated sustainable economic growth with equity,https://english.elpais.com/economy-and-business/2025-01-30/latin-america-draws-up-a-future-of-accelerated-economic-growth-with-equity.html
An economic paradox: When savings are both a good and a bad idea,https://english.elpais.com/economy-and-business/2025-01-30/colombia-seeks-a-way-to-break-its-commercial-dependence-on-the-united-states.html
"Ai Weiwei: ‘In the art world, everyone talks about money. It’s poisonous; you’re only worth as much as your work’  ",https://english.elpais.com/culture/2025-02-15/ai-weiwei-in-the-art-world-everyone-talks-about-money-its-poisonous-youre-only-worth-as-much-as-your-work.html
The SS nursery: Novelist recreates the Nazi maternity wards where babies were raised to swell the ranks of Himmler’s order,https://english.elpais.com/culture/2025-02-16/the-ss-nursery-novelist-recreates-the-nazi-maternity-wards-where-babies-were-raised-to-swell-the-ranks-of-himmlers-order.html
"Rafael López, oncologist: ‘With a blood test we expect to be able to identify the weaknesses of almost all tumors’",https://english.elpais.com/health/2025-02-21/rafael-lopez-oncologist-with-a-blood-test-we-expect-to-be-able-to-identify-the-weaknesses-of-almost-all-tumors.html
"Ramón Bataller, hepatologist: ‘The combination of alcohol and cocaine is explosive and many young people are paying for it’",https://english.elpais.com/health/2025-02-08/ramon-bataller-hepatologist-the-combination-of-alcohol-and-cocaine-is-explosive-and-many-young-people-are-paying-for-it.html
The best Irish wine is made by a Spanish couple,https://english.elpais.com/lifestyle/2025-01-29/the-best-irish-wine-is-made-by-a-spanish-couple.html
My therapist is a bot: The rise of AI in mental health treatment,https://english.elpais.com/technology/2025-01-21/my-therapist-is-a-bot-the-rise-of-ai-in-mental-health-treatment.html
Four wealthy clients to attempt Everest with the help of xenon gas,https://english.elpais.com/sports/2025-01-25/four-wealthy-clients-to-attempt-everest-with-the-help-of-xenon-gas.html
"Climbing without a rope, between freedom and psychopathy",https://english.elpais.com
